format:
number wordrootinstance numberedinstance verbclassinstance numberedinstance
1039 award 0 future_having 0
1040 grant 1 future_having 0
1041 guarantee 0 future_having 0
1042 leave 3 future_having 0
1043 leave 2 future_having 0
1044 owe 1 future_having 0
1045 promise 0 future_having 0
1046 yield 3 future_having 0
1047 dislodge 1 remove 0
1048 draw 15 remove 0
1049 eject 0 remove 0
1050 excise 1 remove 0
1051 expel 0 remove 0
1052 extract 2 remove 0
1053 separate 8 remove 0
1054 separate 3 remove 0
1055 withdraw 0 remove 0
1056 withdraw 0 remove 0
1057 remove 3 remove 0
1058 bang 2 funnel 2
1059 shake 4 funnel 2
1060 break 21 cheat 2
1061 deprive 2 cheat 2
1062 disarm 0 cheat 2
1063 purify 0 cheat 2
1064 relieve 0 cheat 2
1065 relieve 0 cheat 2
1066 strip 5 cheat 2
1067 strip 1 cheat 2
1068 pass 1 give 1
1069 render 0 give 1
1070 sever 0 separate 2
1071 board 2 lodge 0
1072 lodge 0 lodge 0
1073 reside 0 lodge 0
1074 settle 5 lodge 0
1075 settle 13 lodge 0
1076 stay 0 lodge 0
1077 beat 0 sound_emission 0
1078 boom 2 sound_emission 0
1079 chatter 2 sound_emission 0
1080 clink 0 sound_emission 0
1081 crack 2 sound_emission 0
1082 crash 6 sound_emission 0
1083 gurgle 1 sound_emission 0
1084 howl 1 sound_emission 0
1085 howl 0 sound_emission 0
1086 hum 0 sound_emission 0
1087 knell 0 sound_emission 0
1088 peal 0 sound_emission 0
1089 plop 2 sound_emission 0
1090 ring 1 sound_emission 0
1091 roar 1 sound_emission 0
1092 snap 2 sound_emission 0
1093 snap 2 sound_emission 0
1094 squawk 0 sound_emission 0
1095 squeal 0 sound_emission 0
1096 thud 1 sound_emission 0
1097 thunder 2 sound_emission 0
1098 ting 1 sound_emission 0
1099 trill 0 sound_emission 0
1100 trumpet 2 sound_emission 0
1101 twang 4 sound_emission 0
1102 whistle 5 sound_emission 0
1103 compensate 1 equip 2
1104 agonize 1 amuse 0
1105 amaze 0 amuse 0
1106 anger 0 amuse 0
1107 arouse 0 amuse 0
1108 cheer 3 amuse 0
1109 comfort 1 amuse 0
1110 confuse 3 amuse 0
1111 delight 0 amuse 0
1112 enchant 0 amuse 0
1113 enlighten 1 amuse 0
1114 excite 2 amuse 0
1115 fluster 1 amuse 0
1116 gladden 1 amuse 0
1117 grieve 0 amuse 0
1118 humble 3 amuse 0
1119 hurt 3 amuse 0
1120 lull 1 amuse 0
1121 madden 2 amuse 0
1122 mortify 0 amuse 0
1123 relax 1 amuse 0
1124 relieve 0 amuse 0
1125 sadden 0 amuse 0
1126 shock 4 amuse 0
1127 shock 5 amuse 0
1128 stir 2 amuse 0
1129 tempt 1 amuse 0
1130 thrill 0 amuse 0
1131 thrill 1 amuse 0
1132 tickle 1 amuse 0
1133 tire 1 amuse 0
1134 torment 0 amuse 0
1135 try 3 amuse 0
1136 upset 2 amuse 0
1137 worry 4 amuse 0
1138 show 4 transfer_mesg 1
1139 write 1 transfer_mesg 1
1140 write 6 transfer_mesg 1
1141 model 3 captain 2
1142 model 4 captain 2
1143 pioneer 1 captain 2
1144 shepherd 1 captain 2
1145 sponsor 0 captain 2
1146 tailor 0 captain 2
1147 volunteer 0 captain 2
1148 read 1 transfer_mesg 2
1149 dine 1 dine 0
1150 graze 1 dine 0
1151 feed 0 feeding 0
1152 feed 5 feeding 0
1153 credit 1 fulfilling 2
1154 entrust 0 fulfilling 2
1155 serve 11 fulfilling 2
1156 carve 1 build 1
1157 cut 37 build 1
1158 make 21 build 1
1159 read 7 register 0
1160 weigh 2 register 0
1161 complete 3 complete 0
1162 dance 0 modes_of_being_with_motion 0
1163 drift 4 modes_of_being_with_motion 0
1164 float 7 modes_of_being_with_motion 0
1165 hover 2 modes_of_being_with_motion 0
1166 revolve 0 modes_of_being_with_motion 0
1167 shake 0 modes_of_being_with_motion 0
1168 stir 2 modes_of_being_with_motion 0
1169 vibrate 0 modes_of_being_with_motion 0
1170 wobble 0 modes_of_being_with_motion 0
1171 bay 2 animal_sounds 0
1172 call 7 animal_sounds 0
1173 chatter 2 animal_sounds 0
1174 crow 0 animal_sounds 0
1175 squawk 0 animal_sounds 0
1176 squeal 0 animal_sounds 0
1177 thunder 2 animal_sounds 0
1178 talk 1 talk 0
1179 adjoin 0 contiguous_location 2
1180 meet 5 contiguous_location 2
1181 touch 2 contiguous_location 2
1182 detach 0 disassemble 0
1183 unfasten 1 disassemble 0
1184 unleash 0 disassemble 0
1185 unscrew 0 disassemble 0
1186 hop 4 swarm 2
1187 run 14 swarm 2
1188 bounce 3 roll 0
1189 bounce 0 roll 0
1190 drift 5 roll 0
1191 drift 4 roll 0
1192 drop 11 roll 0
1193 float 7 roll 0
1194 float 8 roll 0
1195 glide 2 roll 0
1196 move 5 roll 0
1197 swing 5 roll 0
1198 swing 6 roll 0
1199 revolve 0 roll 0
1200 spin 5 roll 0
1201 spin 6 roll 0
1202 turn 12 roll 0
1203 turn 7 roll 0
1204 turn 6 roll 0
1205 twirl 0 roll 0
1206 whirl 1 roll 0
1207 change 5 exchange 2
1208 trade 1 exchange 2
1209 alternate 5 amalgamate 6
1210 alternate 6 amalgamate 6
1211 intersperse 0 amalgamate 6
1212 consolidate 3 amalgamate 6
1213 unify 0 amalgamate 6
1214 consolidate 3 amalgamate 7
1215 consolidate 2 amalgamate 7
1216 consolidate 4 amalgamate 7
1217 beat 0 hit 0
1218 beat 2 hit 0
1219 beat 5 hit 0
1220 beat 16 hit 0
1221 hit 6 hit 0
1222 hit 6 hit 0
1223 hit 5 hit 0
1224 knock 1 hit 0
1225 smack 4 hit 0
1226 strike 6 hit 0
1227 tap 1 hit 0
1228 bed 2 pocket 1
1229 box 1 pocket 1
1230 case 0 pocket 1
1231 shoulder 0 pocket 1
1232 string 0 pocket 1
1233 desire 0 want 2
1234 take 7 bring 1
1235 barge 1 drive 1
1236 bus 2 drive 1
1237 ferry 1 drive 1
1238 ferry 2 drive 1
1239 find 3 declare 5
1240 crash 8 bump 1
1241 ram 0 bump 1
