format:
number verbclassinstance numberedinstance propbankinstance numberedinstance
250 appoint 0 adopt 0
251 amuse 0 encourage 1
252 appoint 0 appoint 0
253 judgement 0 rebuke 0
254 butter 0 fuel 0
255 build 0 compile 0
256 create 0 fabricate 0
257 put 0 position 0
258 admire 1 underpin 0
259 tape 0 lock 0
260 drive 1 drive 0
261 appear 0 open 2
262 escape 1 recede 0
263 nonverbal_expression 0 laugh 0
264 correspond 1 negotiate 0
265 other_cos 0 flood 0
266 bill 0 charge 1
267 amuse 0 please 0
268 characterize 1 bill 0
269 wipe_manner 1 flush 0
270 amuse 0 alienate 0
271 judgement 0 chastise 0
272 wink 0 point 1
273 scribble 0 print 0
274 characterize 1 portray 0
275 amuse 0 scare 0
276 snooze 0 sleep 0
277 curtsey 0 bow 1
278 fulfilling 0 supply 0
279 appear 0 break 1
280 throw 0 pitch 0
281 push 1 press 0
282 future_having 0 allocate 0
283 judgement 0 criticize 0
284 characterize 1 characterize 0
285 appear 0 materialize 0
286 equip 1 equip 0
287 characterize 1 class 0
288 register 0 weigh 0
289 put 0 install 0
290 contiguous_location 1 enclose 0
291 send 1 transport 0
292 exist 0 prevail 0
293 say 2 declare 0
294 sight 0 perceive 0
295 run 0 zoom 0
296 complain 0 boast 0
297 break 0 crack 0
298 calibratable_cos 0 soar 0
299 amuse 0 exhaust 0
300 other_cos 0 ripen 0
301 send 0 ship 0
302 spray 0 spread 0
303 say 2 remark 0
304 appear 0 come 5
305 amuse 0 excite 0
306 say 2 state 0
307 other_cos 0 advance 0
308 amuse 0 disappoint 0
309 other_cos 0 evaporate 0
310 run 0 rush 0
311 tape 0 clamp 0
312 amuse 0 surprise 0
313 other_cos 0 lessen 0
314 correspond 1 combat 0
315 coloring 0 color 0
316 correspond 1 disagree 0
317 get 0 buy 2
318 admire 1 trust 0
319 get 0 secure 0
320 split 0 break 2
321 pit 0 milk 0
322 get 0 catch 1
323 performance 3 perform 0
324 engender 0 generate 0
325 remove 0 omit 0
326 masquerade 0 act 1
327 escape 1 go 9
328 masquerade 0 qualify 0
329 shake 3 bundle 0
330 obtain 0 borrow 0
331 captain 0 tailor 0
332 engender 0 beget 0
333 assessment 0 analyze 0
334 spray 0 cultivate 0
335 exist 0 flourish 0
336 remove 0 delete 0
337 modes_of_being_with_motion 0 teeter 0
338 amuse 0 trouble 0
339 linger 1 delay 0
340 spatial_configuration 0 sag 0
341 pit 0 stem 1
342 characterize 1 reinstate 0
343 amuse 0 aggravate 0
344 disappearance 0 lapse 0
345 reflexive_appearance 0 express 0
346 amuse 0 anger 0
347 amuse 0 annoy 0
348 get 0 call 2
349 chit_chat 0 chat 0
350 sound_existence 0 sound 0
351 admire 1 enjoy 0
352 characterize 1 herald 0
353 sound_emission 0 ring 0
354 sound_emission 0 peal 0
355 escape 0 descend 0
356 learn 0 memorize 0
357 disappearance 0 disappear 0
358 talk 0 speak 0
359 peer 0 stare 0
360 exist 0 stay 0
361 image_impression 0 set 3
362 image_impression 0 sign 1
363 change_bodily_state 0 faint 0
364 want 1 desire 0
365 dress 0 dress 0
366 judgement 0 bless 0
367 amuse 0 unsettle 0
368 entity_specific_modes_being 0 breathe 0
369 escape 0 escape 0
370 give 0 pay 4
371 other_cos 0 weaken 0
372 chase 0 trail 0
373 characterize 1 establish 0
374 amuse 0 afflict 0
375 run 0 travel 0
376 escape 1 arrive 0
377 crane 0 click 0
378 give 0 pass 3
379 bill 0 fine 0
380 correspond 1 differ 0
381 remove 0 disgorge 0
382 run 0 march 0
383 characterize 1 exploit 0
384 correspond 1 race 1
385 other_cos 0 tighten 0
386 remove 0 reap 0
387 amuse 0 entice 0
388 amuse 0 impress 0
389 obtain 0 inherit 0
390 amuse 0 stimulate 0
391 future_having 0 reallocate 0
392 other_cos 0 broaden 0
393 amuse 0 upset 0
394 advise 0 instruct 0
395 leave 0 abandon 0
396 future_having 0 promise 0
397 correspond 1 cooperate 0
398 mix 0 connect 0
399 cheat 2 rob 0
400 cheat 2 deprive 0
401 create 0 organize 0
402 spray 1 load 1
403 sound_emission 0 boom 1
404 stimulus_subject 0 sound 1
405 search 0 check 1
406 search 0 search 0
407 exist 0 stay 1
408 judgement 0 applaud 0
409 correspond 1 clash 0
410 captain 0 guard 0
411 obtain 0 select 0
412 remove 0 discharge 0
413 correspond 1 conflict 0
414 assuming_position 0 lie 1
415 cooking 0 parch 0
416 other_cos 0 strengthen 0
417 send 0 hand 0
418 bill 0 charge 2
419 spatial_configuration 0 project 0
420 begin 0 end 2
421 bill 0 bet 0
422 tingle 0 reel 0
423 spank 0 bludgeon 0
424 leave 0 abandon 1
425 instr_communication 0 telephone 0
426 run 0 sneak 0
427 judgement 0 denounce 0
428 spray 0 stack 0
429 admire 1 despise 0
430 amuse 0 frighten 0
431 admire 1 dislike 0
432 amuse 0 spook 0
433 amuse 0 scare 1
434 admire 1 resent 0
435 create 1 mint 0
436 assuming_position 0 sit 1
437 chase 0 chase 0
438 destroy 0 destroy 0
439 fill 1 surround 0
440 admire 1 tolerate 0
441 swarm 1 abound 0
442 captain 0 champion 0
443 herd 0 amass 0
444 amuse 0 affect 0
445 begin 0 finish 0
446 get 0 fetch 0
447 sight 0 eye 0
448 sound_existence 0 echo 0
449 hunt 0 hunt 0
450 other_cos 0 cool 0
451 advise 0 caution 0
452 fill 1 bombard 0
453 tape 0 pin 0
454 begin 0 terminate 0
455 other_cos 0 sink 0
456 build 0 arrange 0
457 other_cos 0 chill 0
458 accompany 0 accompany 0
459 judgement 0 compensate 0
460 fill 1 smother 0
461 search 0 shop 0
462 carve 1 notch 0
463 send 1 return 2
464 other_cos 0 worsen 0
465 other_cos 0 blur 0
466 pit 0 top 1
467 body_internal_motion 0 buck 0
468 throw 0 throw 1
469 amuse 0 appease 0
470 separate 2 disconnect 0
471 other_cos 0 heighten 0
472 characterize 1 enter 1
473 other_cos 0 multiply 0
474 pocket 1 land 0
475 remove 0 oust 0
476 investigate 0 explore 0
477 cheat 2 free 0
478 other_cos 0 magnify 0
479 other_cos 0 firm 0
480 see 0 sense 0
481 exchange 1 change 1
482 exchange 1 exchange 0
483 murder 0 liquidate 0
484 other_cos 0 soften 0
485 steal 0 lift 1
486 murder 0 assassinate 0
487 sound_emission 0 explode 0
488 other_cos 0 close 2
489 other_cos 0 centralize 0
490 judgement 0 fault 0
491 get 0 reserve 0
492 other_cos 0 narrow 0
493 substance_emission 0 shed 1
494 hurt 2 injure 0
495 modes_of_being_with_motion 0 revolve 0
496 build 0 fashion 0
497 other_cos 0 shut 2
498 correspond 1 wrestle 0
499 fill 1 line 0
500 get 0 lease 0
501 spray 0 inject 0
502 sound_emission 0 sputter 0
503 body_internal_motion 0 gyrate 0
504 entity_specific_modes_being 0 flow 0
505 cheat 2 deplete 0
506 cheat 2 relieve 0
507 carry 1 haul 1
508 knead 0 compress 0
509 contiguous_location 1 precede 0
510 cheat 2 rid 0
511 calibratable_cos 0 plummet 0
512 fill 1 coat 0
513 amuse 0 revitalize 0
514 complain 0 object 0
515 shake 3 package 0
516 amuse 0 relax 0
517 avoid 0 shun 0
518 manner_speaking 0 wail 0
519 manner_speaking 0 proclaim 0
520 escape 0 depart 0
521 amuse 0 distract 0
522 steal 0 liberate 0
523 mix 0 rejoin 0
524 remove 0 eject 0
525 amuse 0 bother 1
526 contiguous_location 1 span 0
527 concealment 0 isolate 0
528 spray 0 sow 0
529 send 0 express 1
530 appear 0 erupt 0
531 amuse 0 align 0
532 wipe_manner 1 bail 0
533 amuse 0 stir 1
534 assuming_position 0 crouch 0
535 throw 0 flip 0
536 create 0 model 0
537 simple_dressing 0 don 0
538 send 0 slip 2
539 spray 1 pack 0
540 throw 0 hurl 0
541 judgement 0 cheer 0
542 steal 0 recapture 0
543 fill 1 dot 0
544 admire 1 savor 0
545 butter 0 cap 1
546 throw 0 fire 1
547 exist 0 languish 0
548 amuse 0 shock 0
549 send 1 shift 0
550 amuse 0 comfort 0
551 stalk 0 stalk 0
552 nonvehicle 0 ride 0
553 admire 1 hate 0
554 escape 0 ascend 0
555 manner_speaking 0 holler 0
556 run 0 amble 0
557 performance 3 steer 0
558 nonvehicle 0 cruise 1
559 manner_speaking 0 hiss 0
560 escape 1 plunge 1
561 run 0 scuttle 1
562 run 0 scramble 1
563 characterize 1 enlist 0
564 disassemble 0 disassemble 0
565 swat 0 punch 0
566 spray 1 cram 0
567 captain 0 nurse 0
568 run 0 clamber 0
569 run 0 streak 0
570 other_cos 0 smooth 0
571 pocket 1 bottle 0
572 other_cos 0 age 0
573 amuse 0 reassure 0
574 dub 0 pronounce 0
575 exchange 1 substitute 0
576 swat 0 paw 0
577 get 0 call 4
578 amuse 0 arouse 0
579 correspond 1 consort 0
580 funnel 1 wedge 0
581 preparing 1 brew 0
582 swarm 2 teem 0
583 nonverbal_expression 0 weep 0
