format:
number verbclassinstance numberedinstance propbankinstance numberedinstance
1039 butter 0 poison 0
1040 tape 0 strap 1
1041 mine 0 mine 0
1042 transcribe 0 photograph 0
1043 pocket 1 can 0
1044 amuse 0 depress 1
1045 orphan 0 widow 0
1046 sound_emission 0 tick 0
1047 admire 1 detest 0
1048 run 0 stride 0
1049 run 0 shuffle 0
1050 cheat 2 denude 0
1051 correspond 1 vie 0
1052 other_cos 0 democratize 0
1053 other_cos 0 acidify 0
1054 cling 0 cling 0
1055 sound_emission 0 sizzle 0
1056 admire 1 cherish 0
1057 amuse 0 dissatisfy 0
1058 remove 0 disengage 0
1059 scribble 0 scratch 0
1060 say 2 relate 1
1061 admire 1 deplore 0
1062 split 0 blow 4
1063 other_cos 0 blacken 0
1064 bump 1 ram 0
1065 contiguous_location 1 overhang 0
1066 contiguous_location 1 rim 0
1067 sound_emission 0 crackle 0
1068 spatial_configuration 0 jut 1
1069 manner_speaking 0 whoop 0
1070 butter 0 tar 0
1071 fill 1 shroud 0
1072 judgement 0 confer 1
1073 run 0 trek 0
1074 run 0 tiptoe 0
1075 tape 0 staple 0
1076 see 0 taste 1
1077 tape 0 wire 0
1078 amuse 0 frighten 1
1079 steal 0 filch 0
1080 light_emission 0 blaze 0
1081 sound_emission 0 ping 0
1082 judgement 0 compliment 0
1083 amuse 0 scandalize 0
1084 amuse 0 humble 0
1085 create 0 coin 0
1086 throw 0 slam 1
1087 light_emission 0 flame 0
1088 pocket 1 ground 0
1089 other_cos 0 unionize 0
1090 judgement 0 impeach 0
1091 chase 0 tail 0
1092 break 0 smash 0
1093 appear 0 dawn 1
1094 cheat 2 bleed 1
1095 pocket 1 imprison 0
1096 pit 0 behead 0
1097 amuse 0 wound 0
1098 admire 1 loathe 0
1099 pocket 1 corral 0
1100 run 0 jog 0
1101 meander 0 weave 1
1102 appear 0 burst 0
1103 knead 0 knead 0
1104 fill 1 replenish 0
1105 masquerade 0 camouflage 0
1106 bill 0 charge 4
1107 register 0 register 1
1108 tape 0 glue 0
1109 advise 1 admonish 0
1110 cheat 2 swindle 0
1111 break 0 break 6
1112 characterize 1 enroll 0
1113 admire 1 disdain 0
1114 judgement 0 scorn 0
1115 see 0 discern 0
1116 wipe_manner 1 trim 1
1117 shake 3 append 0
1118 run 0 hurtle 0
1119 amuse 0 disgruntle 0
1120 captain 0 coach 0
1121 wipe_manner 1 erase 0
1122 other_cos 0 sour 0
1123 run 0 vault 0
1124 tape 0 hinge 0
1125 put 0 stow 0
1126 separate 2 dissociate 0
1127 amuse 0 perturb 0
1128 keep 0 hoard 0
1129 murder 0 slaughter 0
1130 fill 1 saturate 0
1131 create 0 compute 0
1132 amuse 0 lull 0
1133 butter 0 blindfold 0
1134 amuse 0 assuage 0
1135 tingle 0 smart 0
1136 other_cos 0 tan 0
1137 cheat 2 fleece 0
1138 correspond 1 mingle 0
1139 say 2 blurt 0
1140 judgement 0 victimize 0
1141 run 0 trudge 0
1142 remove 0 uproot 0
1143 pit 0 top 2
1144 amuse 0 appall 0
1145 judgement 0 commend 0
1146 other_cos 0 burst 1
1147 amuse 0 electrify 0
1148 run 0 charge 5
1149 vehicle 1 ski 0
1150 manner_speaking 0 cry 2
1151 banish 0 evacuate 0
1152 reflexive_appearance 0 intrude 0
1153 avoid 0 elude 0
1154 animal_sounds 0 quack 0
1155 admire 1 dread 0
1156 amuse 0 terrify 0
1157 captain 0 shepherd 0
1158 exist 1 lurk 0
1159 steal 0 pirate 0
1160 other_cos 0 short-circuit 0
1161 other_cos 0 magnetize 0
1162 cooking 0 coddle 0
1163 contiguous_location 1 border 0
1164 peer 0 gaze 0
1165 fill 1 encrust 0
1166 separate 2 divorce 1
1167 judgement 0 acclaim 0
1168 drive 0 wheel 0
1169 amuse 0 pacify 0
1170 other_cos 0 even 0
1171 wipe_manner 1 filter 1
1172 run 0 wade 0
1173 investigate 0 quiz 0
1174 judgement 0 ridicule 0
1175 other_cos 0 dissipate 0
1176 captain 0 skipper 0
1177 steal 0 wrest 0
1178 amuse 0 cheer 1
1179 wink 1 wink 0
1180 push 0 heave 0
1181 contiguous_location 1 skirt 1
1182 waltz 0 tango 0
1183 carve 1 mince 0
1184 peer 0 sniff 2
1185 separate 2 disassociate 0
1186 other_cos 0 decelerate 0
1187 preparing 1 fix 2
1188 tape 0 hook 2
1189 peer 0 glance 0
1190 substance_emission 0 ooze 0
1191 run 0 scoot 0
1192 modes_of_being_with_motion 0 dance 1
1193 body_internal_states 0 shiver 0
1194 assuming_position 0 sit 2
1195 amuse 0 traumatize 0
1196 shake 0 stir 3
1197 weather 0 rain 0
1198 hunt 0 poach 0
1199 cooking 0 simmer 0
1200 get 0 cash 1
1201 tape 0 bolt 1
1202 wipe_manner 1 strain 3
1203 amuse 0 wow 0
1204 judgement 0 disparage 0
1205 amuse 0 console 0
1206 build 1 chisel 0
1207 run 0 prance 0
1208 crane 0 wring 1
1209 correspond 1 war 0
1210 correspond 1 quibble 0
1211 pocket 1 pillory 0
1212 fill 1 enrich 0
1213 fill 1 litter 0
1214 crane 0 crane 0
1215 amuse 0 hypnotize 0
1216 modes_of_being_with_motion 0 totter 1
1217 pocket 1 shoulder 0
1218 other_cos 0 shrivel 0
1219 break 0 snap 3
1220 run 0 ramble 0
1221 pocket 1 shelve 0
1222 amuse 0 rankle 0
1223 wipe_instr 0 shear 0
1224 run 0 blast 2
1225 judgement 0 mock 0
1226 throw 0 nudge 0
1227 amuse 0 dazzle 0
1228 other_cos 0 americanize 0
1229 reflexive_appearance 0 manifest 0
1230 banish 0 extradite 0
1231 other_cos 0 close 6
1232 correspond 1 dicker 0
1233 fill 1 pave 1
1234 other_cos 0 redden 0
1235 other_cos 0 kindle 0
1236 rummage 0 scratch 2
1237 image_impression 0 engrave 0
1238 separate 2 differentiate 0
1239 pit 0 gut 0
1240 contiguous_location 1 flank 0
1241 entity_specific_modes_being 0 blow 5
1242 vehicle 1 bike 0
1243 tape 0 handcuff 0
1244 debone 0 delouse 0
1245 light_emission 0 gleam 0
1246 herd 0 herd 0
1247 escape 0 exit 0
1248 carve 0 bore 1
1249 tape 0 buckle 2
1250 other_cos 0 deflate 0
1251 fit 0 seat 1
1252 amuse 0 entrance 0
1253 amuse 0 infuriate 0
1254 tape 0 tape 1
1255 fill 1 anoint 0
1256 amuse 0 vex 0
1257 exchange 1 barter 0
1258 image_impression 0 repaint 1
1259 spank 0 cuff 0
1260 pelt 0 bat 0
1261 butter 0 carpet 0
1262 calibratable_cos 0 depreciate 0
1263 amuse 0 ruffle 1
1264 cooking 0 fry 0
1265 butter 0 patch 1
1266 tape 0 tether 0
1267 funnel 1 hammer 2
1268 manner_speaking 0 yelp 0
1269 nonverbal_expression 0 grin 0
1270 butter 0 snare 0
1271 captain 0 model 1
1272 butter 0 pepper 0
1273 pour 0 slosh 0
1274 send 0 forward 0
1275 characterize 1 paint 2
1276 marry 0 date 1
1277 remove 0 lop 0
1278 build 1 mold 0
1279 poke 0 prick 0
1280 other_cos 0 quicken 0
1281 say 2 blab 0
1282 spank 0 flog 0
1283 captain 0 tutor 0
1284 spank 0 thrash 2
1285 wipe_manner 1 skim 1
1286 steal 0 pinch 1
1287 run 0 traipse 0
1288 judgement 0 chasten 0
1289 put_direction 0 hoist 0
1290 sound_emission 0 toot 0
